
04/04/2022 11:58:28: ExecuteNonQuery: la proprietà Connection non è stata inizializzata.
04/04/2022 11:58:28: ESEGUITO, NESSUN MESSAGGIO
04/04/2022 12:00:02: ESEGUITO, NESSUN MESSAGGIO
04/04/2022 12:00:21: Errore del server remoto: (404) Non trovato.
04/04/2022 12:00:38: Errore del server remoto: (404) Non trovato.
17/05/2023 11:24:04: <b>Verifica fatture</b> da inviare: Non risultano documenti da inviare e verificare con data-documento inferiore o uguale alla data odierna.
17/05/2023 11:24:11: ESEGUITO, NESSUN MESSAGGIO
17/05/2023 11:24:16: ESEGUITO, NESSUN MESSAGGIO
17/05/2023 11:24:44: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT07334940157_7Wu0h.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT07334940157_7Wu0h.xml.pdf'><b>Apri</b></a> 
17/05/2023 11:25:13: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02350840043_6OR3U.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02350840043_6OR3U.xml.pdf'><b>Apri</b></a> 
17/05/2023 12:54:14: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT01922380041_03zr4.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT01922380041_03zr4.xml.pdf'><b>Apri</b></a> 
17/05/2023 12:57:36: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT08806580968_2BBEC.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT08806580968_2BBEC.xml.pdf'><b>Apri</b></a> 
18/05/2023 12:16:50: ESEGUITO, NESSUN MESSAGGIO
18/05/2023 12:16:55: ESEGUITO, NESSUN MESSAGGIO
18/05/2023 12:17:15: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT0526289001423137_50YIW.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT0526289001423137_50YIW.xml.pdf'><b>Apri</b></a> 
19/05/2023 07:50:56: ESEGUITO, NESSUN MESSAGGIO
19/05/2023 07:51:02: ESEGUITO, NESSUN MESSAGGIO
19/05/2023 08:25:43: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT08806580968_2BAND.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT08806580968_2BAND.xml.pdf'><b>Apri</b></a> 
22/05/2023 09:52:56: ESEGUITO, NESSUN MESSAGGIO
22/05/2023 09:53:03: ESEGUITO, NESSUN MESSAGGIO
22/05/2023 09:53:17: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT00125230219_JDL6P.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT00125230219_JDL6P.xml.pdf'><b>Apri</b></a> 
22/05/2023 09:53:39: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT12281740154Z0001_EF22U.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT12281740154Z0001_EF22U.xml.pdf'><b>Apri</b></a> 
22/05/2023 09:54:03: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT00125230219_JDL6P.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT00125230219_JDL6P.xml.pdf'><b>Apri</b></a> 
23/05/2023 08:50:21: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02350220048_00C5B.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02350220048_00C5B.xml.pdf'><b>Apri</b></a> 
23/05/2023 08:51:12: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02350220048_00BXC.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02350220048_00BXC.xml.pdf'><b>Apri</b></a> 
23/05/2023 08:59:38: ESEGUITO, NESSUN MESSAGGIO
23/05/2023 08:59:41: ESEGUITO, NESSUN MESSAGGIO
23/05/2023 09:19:53: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT07334940157_7Xpyq.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT07334940157_7Xpyq.xml.pdf'><b>Apri</b></a> 
23/05/2023 15:00:09: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02350220048_00C5B.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02350220048_00C5B.xml.pdf'><b>Apri</b></a> 
