
08/01/2024 11:49:05: ESEGUITO, NESSUN MESSAGGIO
08/01/2024 11:49:55: ESEGUITO, NESSUN MESSAGGIO
08/01/2024 11:50:26: ESEGUITO, NESSUN MESSAGGIO
08/01/2024 11:51:00: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT10691530157_0HtiB.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\utente\Documents\IT10691530157_0HtiB.xml.pdf'><b>Apri</b></a> 
08/01/2024 11:53:17: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT10691530157_0HtiB.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\utente\Documents\IT10691530157_0HtiB.xml.pdf'><b>Apri</b></a> 
08/01/2024 11:53:28: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT10691530157_0HtiB.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Administrator\Documents\IT10691530157_0HtiB.xml.pdf'><b>Apri</b></a> 
08/01/2024 11:53:43: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT10691530157_0HtiB.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Administrator\Documents\IT10691530157_0HtiB.xml.pdf'><b>Apri</b></a> 
08/01/2024 11:54:09: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT10691530157_0HtiB.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\utente\Documents\IT10691530157_0HtiB.xml.pdf'><b>Apri</b></a> 
08/01/2024 16:36:27: ESEGUITO, NESSUN MESSAGGIO
08/01/2024 16:36:51: ESEGUITO, NESSUN MESSAGGIO
08/01/2024 16:37:15: ESEGUITO, NESSUN MESSAGGIO
09/01/2024 16:39:04: ESEGUITO, NESSUN MESSAGGIO
10/01/2024 09:45:18: ESEGUITO, NESSUN MESSAGGIO
10/01/2024 09:47:06: ESEGUITO, NESSUN MESSAGGIO
10/01/2024 09:47:36: ESEGUITO, NESSUN MESSAGGIO
10/01/2024 09:47:42: ESEGUITO, NESSUN MESSAGGIO
11/01/2024 09:50:54: ESEGUITO, NESSUN MESSAGGIO
11/01/2024 10:01:20: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT00484960588_Rkqpn.xml</i>.&nbsp;&nbsp;<a href='C:\Users\utente\Documents\IT00484960588_Rkqpn.xml'><b>Apri</b></a> 
11/01/2024 10:01:27: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT07945211006ESLR5_1VY3D.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\utente\Documents\IT07945211006ESLR5_1VY3D.xml.pdf'><b>Apri</b></a> 
12/01/2024 13:49:09: ESEGUITO, NESSUN MESSAGGIO
15/01/2024 15:59:01: ESEGUITO, NESSUN MESSAGGIO
17/01/2024 13:25:49: ESEGUITO, NESSUN MESSAGGIO
